Country,Life satisfaction,GDP per capita (USD)
United States,6.9,60235.7284916969
Denmark,7.6,55938.2128086032
Netherlands,7.4,54209.5638357302
Iceland,7.5,52279.7288513646
Austria,7.1,51935.6038618156
Germany,7.0,50922.3580234484
Sweden,7.3,50683.3235097178
Australia,7.3,48697.8370282475
Belgium,6.9,48210.0331113444
Finland,7.6,47260.800458441
Canada,7.4,45856.6256264804
New Zealand,7.3,42404.3937381567
France,6.5,42025.6173730617
United Kingdom,6.8,41627.129269425
Italy,6.0,38992.1483807498
Israel,7.2,38341.3075704083
Lithuania,5.9,36732.034744031
Slovenia,5.9,36547.7389559849
Spain,6.3,36215.4475907307
Estonia,5.7,35638.4213511812
Poland,6.1,32238.157259275
Portugal,5.4,32181.1545372343
Hungary,5.6,31007.7684065437
Latvia,5.9,29932.4939100562
Turkey,5.5,28384.9877846263
Greece,5.4,27287.0834009302
Russia,5.8,26456.3879381321
